feature,bin,n,bad,good,pct_good,pct_bad,woe
credit_amount,"(2852.4, 4720.0]",200,52,148,0.2114285711265306,0.17333333275555557,0.19866965720465077
credit_amount,"(4720.0, 18424.0]",200,85,115,0.1642857140510204,0.2833333323888889,-0.5450144290770512
savings_status,100-500,103,34,69,0.09857142843061224,0.11333333295555556,-0.13955055711576658
savings_status,500-1000,63,11,52,0.07428571417959184,0.03666666654444445,0.7060367763930205
savings_status,<100,603,217,386,0.5514285706408163,0.7233333309222222,-0.2713574115757378
savings_status,>=1000,48,6,42,0.059999999914285715,0.019999999933333335,1.0985789583504664
savings_status,no savings,183,32,151,0.21571428540612245,0.10666666631111112,0.7042413363275206
employment,1-4yr,339,104,235,0.3357142852346939,0.34666666551111114,-0.032103149371917106
employment,4-7yr,174,39,135,0.19285714258163267,0.12999999956666666,0.39441276671995873
employment,<1yr,172,70,102,0.14571428550612245,0.23333333255555555,-0.4708177102310866
employment,>=7yr,253,64,189,0.2699999996142857,0.21333333262222223,0.23556508942534965
employment,unemployed,62,23,39,0.055714285634693876,0.07666666641111111,-0.31922552311828595
installment_rate,1,136,34,102,0.14571428550612245,0.11333333295555556,0.2513124694167132
installment_rate,2,231,62,169,0.24142857108367347,0.20666666597777777,0.1554657747008154
installment_rate,3,157,45,112,0.15999999977142856,0.1499999995,0.06453810637834395
installment_rate,4,476,159,317,0.45285714221020407,0.5299999982333333,-0.15729996541661406
personal_status,female,310,109,201,0.28714285673265305,0.36333333212222224,-0.23534010236130384
personal_status,male divorced,50,20,30,0.04285714279591837,0.06666666644444444,-0.4418244172006798
personal_status,male married,92,25,67,0.09571428557755102,0.08333333305555556,0.1385173838189145
personal_status,male single,548,146,402,0.5742857134653061,0.48666666504444445,0.1655472949278454
other_debtors,co-applicant,41,18,23,0.03285714281020408,0.0599999998,-0.602161632657768
other_debtors,guarantor,52,10,42,0.059999999914285715,0.03333333322222222,0.5877733337845752
other_debtors,none,907,272,635,0.9071428558469388,0.9066666636444445,0.0005250735352793176
property,car,332,102,230,0.3285714281020408,0.33999999886666665,-0.0341912605420387
property,insurance/savings,232,71,161,0.22999999967142856,0.2366666658777778,-0.028573248065852833
property,no property,154,67,87,0.12428571410816326,0.2233333325888889,-0.5860787908761006
property,real estate,282,60,222,0.3171428566897959,0.19999999933333334,0.46103311432840666
age,"(18.999, 26.0]",240,94,146,0.2085714282734694,0.3133333322888889,-0.40698441601932756
age,"(26.0, 30.0]",171,54,117,0.16714285690408162,0.1799999994,-0.07410754290100811
age,"(30.0, 36.0]",216,56,160,0.22857142824489796,0.18666666604444446,0.20252328387814625
age,"(36.0, 45.0]",187,49,138,0.19714285686122449,0.1633333327888889,0.18813447858478882
age,"(45.0, 75.0]",186,47,139,0.1985714282877551,0.15666666614444444,0.23702712593836767
other_installment,bank,139,57,82,0.1171428569755102,0.18999999936666667,-0.483626605647859
other_installment,none,814,224,590,0.8428571416530612,0.7466666641777778,0.12117847371743755
other_installment,stores,47,19,28,0.03999999994285714,0.06333333312222222,-0.4595231171352218
housing,free,108,44,64,0.09142857129795919,0.1466666661777778,-0.4726002897594267
housing,own,713,186,527,0.7528571417816327,0.6199999979333334,0.19415573171615347
housing,rent,179,70,109,0.15571428549183675,0.23333333255555555,-0.40444308201003654
foreign_worker,no,37,4,33,0.047142857075510206,0.01333333328888889,1.262861556572526
foreign_worker,yes,963,296,667,0.9528571414959184,0.9866666633777778,-0.034867230929168457
