checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_debtors,residence_since,property,age,other_installment,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
<0,6,existing paid,radio/TV,2647,500-1000,1-4yr,2,male single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,0
<0,10,critical,car (new),2241,<100,<1yr,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,0
0-200,12,critical,car (used),1804,100-500,<1yr,3,male single,none,4,insurance/savings,44,none,own,1,skilled,1,none,yes,0
no checking,10,critical,furniture,2069,no savings,1-4yr,2,male married,none,1,car,26,none,own,2,skilled,1,none,no,0
<0,6,existing paid,furniture,1374,<100,1-4yr,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,0
no checking,6,no credits,radio/TV,426,<100,>=7yr,4,male married,none,4,car,39,none,own,1,unskilled resident,1,none,yes,0
>=200,12,all paid,radio/TV,409,>=1000,1-4yr,3,female,none,3,real estate,42,none,rent,2,skilled,1,none,yes,0
0-200,7,existing paid,radio/TV,2415,<100,1-4yr,3,male single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,0
<0,60,delayed,business,6836,<100,>=7yr,3,male single,none,4,no property,63,none,own,2,skilled,1,yes,yes,1
0-200,18,existing paid,business,1913,>=1000,<1yr,3,male married,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,0
<0,24,existing paid,furniture,4020,<100,1-4yr,2,male single,none,2,car,27,stores,own,1,skilled,1,none,yes,0
0-200,18,existing paid,car (new),5866,100-500,1-4yr,2,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,0
no checking,12,critical,business,1264,no savings,>=7yr,4,male single,none,4,no property,57,none,rent,1,unskilled resident,1,none,yes,0
>=200,12,existing paid,furniture,1474,<100,<1yr,4,female,none,1,insurance/savings,33,bank,own,1,management,1,yes,yes,0
0-200,45,critical,radio/TV,4746,<100,<1yr,4,male single,none,2,insurance/savings,25,none,own,2,unskilled resident,1,none,yes,1
no checking,48,critical,education,6110,<100,1-4yr,1,male single,none,3,no property,31,bank,free,1,skilled,1,yes,yes,0
>=200,18,existing paid,radio/TV,2100,<100,1-4yr,4,male single,co-applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,1
>=200,10,existing paid,appliances,1225,<100,1-4yr,2,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,0
0-200,9,existing paid,radio/TV,458,<100,1-4yr,4,male single,none,3,real estate,24,none,own,1,skilled,1,none,yes,0
no checking,30,existing paid,radio/TV,2333,500-1000,>=7yr,4,male single,none,2,car,30,bank,own,1,management,1,none,yes,0
0-200,12,existing paid,radio/TV,1158,500-1000,1-4yr,3,male divorced,none,1,car,26,none,own,1,skilled,1,yes,yes,0
0-200,18,delayed,repairs,6204,<100,1-4yr,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,0
<0,30,critical,car (used),6187,100-500,4-7yr,1,male married,none,4,car,24,none,rent,2,skilled,1,none,yes,0
<0,48,critical,car (used),6143,<100,>=7yr,4,female,none,4,no property,58,stores,free,2,unskilled resident,1,none,yes,1
no checking,11,critical,car (new),1393,<100,<1yr,4,female,none,4,car,35,none,own,2,management,1,none,yes,0
no checking,36,existing paid,radio/TV,2299,500-1000,>=7yr,4,male single,none,4,car,39,none,own,1,skilled,1,none,yes,0
<0,6,existing paid,car (used),1352,500-1000,unemployed,1,female,none,2,insurance/savings,23,none,rent,1,unemployed/unskilled,1,yes,yes,0
no checking,11,critical,car (new),7228,<100,1-4yr,1,male single,none,4,insurance/savings,39,none,own,2,unskilled resident,1,none,yes,0
no checking,12,existing paid,radio/TV,2073,100-500,1-4yr,4,female,co-applicant,2,real estate,28,none,own,1,skilled,1,none,yes,0
0-200,24,delayed,furniture,2333,no savings,<1yr,4,male single,none,2,insurance/savings,29,bank,own,1,unskilled resident,1,none,yes,0
0-200,27,delayed,car (used),5965,<100,>=7yr,1,male single,none,2,car,30,none,own,2,management,1,yes,yes,0
no checking,12,existing paid,radio/TV,1262,<100,1-4yr,3,male single,none,2,car,25,none,own,1,skilled,1,none,yes,0
no checking,18,existing paid,car (used),3378,no savings,1-4yr,2,male single,none,1,insurance/savings,31,none,own,1,skilled,1,yes,yes,0
0-200,36,delayed,car (new),2225,<100,>=7yr,4,male single,none,4,no property,57,bank,free,2,skilled,1,yes,yes,1
no checking,6,all paid,car (new),783,no savings,1-4yr,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,0
0-200,12,existing paid,radio/TV,6468,no savings,unemployed,2,male single,none,1,no property,52,none,own,1,management,1,yes,yes,1
no checking,36,critical,radio/TV,9566,<100,1-4yr,2,female,none,2,car,31,stores,own,2,skilled,1,none,yes,0
>=200,18,existing paid,car (new),1961,<100,>=7yr,3,female,none,2,car,23,none,own,1,management,1,none,yes,0
<0,36,critical,furniture,6229,<100,<1yr,4,female,co-applicant,4,no property,23,none,rent,2,unskilled resident,1,yes,yes,1
0-200,9,existing paid,business,1391,<100,1-4yr,2,male married,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,0
0-200,15,critical,radio/TV,1537,no savings,>=7yr,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,0
0-200,36,no credits,business,1953,<100,>=7yr,4,male single,none,4,no property,61,none,free,1,management,1,yes,yes,1
0-200,48,no credits,business,14421,<100,1-4yr,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,1
no checking,24,existing paid,radio/TV,3181,<100,<1yr,4,female,none,4,insurance/savings,26,none,own,1,skilled,1,yes,yes,0
no checking,27,existing paid,repairs,5190,no savings,>=7yr,4,male single,none,4,insurance/savings,48,none,own,4,skilled,2,yes,yes,0
no checking,12,existing paid,radio/TV,2171,<100,<1yr,2,female,none,2,car,29,bank,own,1,skilled,1,none,yes,0
0-200,12,existing paid,car (new),1007,>=1000,1-4yr,4,male married,none,1,real estate,22,none,own,1,skilled,1,none,yes,0
no checking,36,existing paid,education,1819,<100,1-4yr,4,male single,none,4,no property,37,stores,free,1,skilled,1,yes,yes,1
no checking,36,existing paid,radio/TV,2394,no savings,1-4yr,4,female,none,4,car,25,none,own,1,skilled,1,none,yes,0
no checking,36,existing paid,car (used),8133,<100,1-4yr,1,female,none,2,insurance/savings,30,bank,own,1,skilled,1,none,yes,0
no checking,7,critical,radio/TV,730,no savings,>=7yr,4,male single,none,2,insurance/savings,46,none,rent,2,unskilled resident,1,yes,yes,0
<0,8,critical,others,1164,<100,>=7yr,3,male single,none,4,no property,51,bank,free,2,management,2,yes,yes,0
0-200,42,critical,business,5954,<100,4-7yr,2,female,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,0
<0,36,existing paid,education,1977,no savings,>=7yr,4,male single,none,4,no property,40,none,own,1,management,1,yes,yes,1
<0,12,critical,car (used),1526,<100,>=7yr,4,male single,none,4,no property,66,none,free,2,management,1,none,yes,0
<0,42,existing paid,radio/TV,3965,<100,<1yr,4,male single,none,3,car,34,none,own,1,skilled,1,none,yes,1
0-200,11,delayed,radio/TV,4771,<100,4-7yr,2,male single,none,4,insurance/savings,51,none,own,1,skilled,1,none,yes,0
no checking,54,no credits,car (used),9436,no savings,1-4yr,2,male single,none,2,insurance/savings,39,none,own,1,unskilled resident,2,none,yes,0
0-200,30,existing paid,furniture,3832,<100,<1yr,2,male married,none,1,insurance/savings,22,none,own,1,skilled,1,none,yes,0
no checking,24,existing paid,radio/TV,5943,no savings,<1yr,1,female,none,1,car,44,none,own,2,skilled,1,yes,yes,1
no checking,15,existing paid,radio/TV,1213,500-1000,>=7yr,4,male single,none,3,insurance/savings,47,stores,own,1,skilled,1,yes,yes,0
no checking,18,existing paid,business,1568,100-500,1-4yr,3,female,none,4,insurance/savings,24,none,rent,1,unskilled resident,1,none,yes,0
<0,24,existing paid,others,1755,<100,>=7yr,4,female,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,0
<0,10,existing paid,radio/TV,2315,<100,>=7yr,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,0
no checking,12,critical,business,1412,<100,1-4yr,4,female,guarantor,2,real estate,29,none,own,2,management,1,yes,yes,0
0-200,18,critical,furniture,1295,<100,<1yr,4,female,none,1,insurance/savings,27,none,own,2,skilled,1,none,yes,0
0-200,36,existing paid,education,12612,100-500,1-4yr,1,male single,none,4,no property,47,none,free,1,skilled,2,yes,yes,1
<0,18,existing paid,car (new),2249,100-500,4-7yr,4,male single,none,3,car,30,none,own,1,management,2,yes,yes,0
<0,12,no credits,repairs,1108,<100,4-7yr,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,yes,1
no checking,12,critical,radio/TV,618,<100,>=7yr,4,male single,none,4,real estate,56,none,own,1,skilled,1,none,yes,0
<0,12,critical,car (used),1409,<100,>=7yr,4,male single,none,3,real estate,54,none,own,1,skilled,1,none,yes,0
no checking,12,critical,radio/TV,797,no savings,>=7yr,4,female,none,3,insurance/savings,33,bank,own,1,unskilled resident,2,none,yes,1
>=200,24,critical,furniture,3617,no savings,>=7yr,4,male single,co-applicant,4,no property,20,none,rent,2,skilled,1,none,yes,0
0-200,12,existing paid,car (new),1318,>=1000,>=7yr,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,0
0-200,54,no credits,business,15945,<100,<1yr,3,male single,none,4,no property,58,none,rent,1,skilled,1,yes,yes,1
no checking,12,critical,education,2012,no savings,4-7yr,4,female,none,2,car,61,none,own,1,skilled,1,none,yes,0
0-200,18,existing paid,business,2622,100-500,1-4yr,4,male single,none,4,car,34,none,own,1,skilled,1,none,yes,0
0-200,36,critical,radio/TV,2337,<100,>=7yr,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,0
0-200,20,delayed,car (used),7057,no savings,4-7yr,3,male single,none,4,insurance/savings,36,bank,rent,2,management,2,yes,yes,0
no checking,24,existing paid,car (new),1469,100-500,>=7yr,4,male married,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,0
0-200,36,existing paid,radio/TV,2323,<100,4-7yr,4,male single,none,4,car,24,none,rent,1,skilled,1,none,yes,0
no checking,6,delayed,radio/TV,932,<100,1-4yr,3,female,none,2,real estate,24,none,own,1,skilled,1,none,yes,0
0-200,9,critical,furniture,1919,<100,4-7yr,4,male single,none,3,car,35,none,rent,1,skilled,1,yes,yes,0
no checking,12,existing paid,car (used),2445,no savings,<1yr,2,male married,none,4,car,26,none,rent,1,skilled,1,yes,yes,0
0-200,24,critical,others,11938,<100,1-4yr,2,male single,co-applicant,3,car,39,none,own,2,management,2,yes,yes,1
no checking,18,all paid,car (new),6458,<100,>=7yr,2,male single,none,4,no property,39,bank,own,2,management,2,yes,yes,1
0-200,12,existing paid,car (new),6078,<100,4-7yr,2,male single,none,2,car,32,none,own,1,skilled,1,none,yes,0
<0,24,existing paid,furniture,7721,no savings,<1yr,1,female,none,2,insurance/savings,30,none,own,1,skilled,1,yes,no,0
0-200,14,existing paid,business,1410,500-1000,>=7yr,1,male married,none,2,real estate,35,none,own,1,skilled,1,yes,yes,0
0-200,6,delayed,business,1449,100-500,>=7yr,1,male divorced,none,2,car,31,bank,own,2,skilled,2,none,yes,0
>=200,15,existing paid,education,392,<100,<1yr,4,female,none,4,insurance/savings,23,none,rent,1,skilled,1,yes,yes,0
0-200,18,existing paid,car (new),6260,<100,4-7yr,3,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,0
no checking,36,critical,car (new),7855,<100,1-4yr,4,female,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,1
<0,12,existing paid,radio/TV,1680,500-1000,>=7yr,3,male married,none,1,real estate,35,none,own,1,skilled,1,none,yes,0
no checking,48,critical,radio/TV,3578,no savings,>=7yr,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,0
<0,42,existing paid,radio/TV,7174,no savings,4-7yr,4,female,none,3,car,30,none,own,1,management,1,yes,yes,1
<0,10,critical,furniture,2132,no savings,<1yr,2,female,co-applicant,3,real estate,27,none,rent,2,skilled,1,none,no,0
<0,33,critical,furniture,4281,500-1000,1-4yr,1,female,none,4,car,23,none,own,2,skilled,1,none,yes,1
0-200,12,critical,car (new),2366,500-1000,4-7yr,3,male divorced,none,3,car,36,none,own,1,management,1,yes,yes,0
<0,21,existing paid,radio/TV,1835,<100,1-4yr,3,female,none,2,real estate,25,none,own,2,skilled,1,yes,yes,1
no checking,24,critical,car (used),3868,<100,>=7yr,4,female,none,2,car,41,none,rent,2,management,1,yes,yes,0
no checking,12,existing paid,furniture,1768,<100,1-4yr,3,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,0
>=200,10,critical,car (new),781,<100,>=7yr,4,male single,none,4,no property,63,none,free,2,skilled,1,yes,yes,0
0-200,18,existing paid,furniture,1924,no savings,<1yr,4,female,none,3,real estate,27,none,rent,1,skilled,1,none,yes,1
<0,12,critical,car (new),2121,<100,1-4yr,4,male single,none,2,insurance/savings,30,none,own,2,skilled,1,none,yes,0
<0,12,existing paid,radio/TV,701,<100,1-4yr,4,male married,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,0
0-200,12,existing paid,repairs,639,<100,1-4yr,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,1
0-200,12,critical,car (used),1860,<100,unemployed,4,male single,none,2,car,34,none,own,2,management,1,yes,yes,0
<0,12,critical,car (new),3499,<100,1-4yr,3,female,co-applicant,2,real estate,29,none,own,2,skilled,1,none,yes,1
0-200,48,existing paid,car (new),8487,no savings,4-7yr,1,female,none,2,car,24,none,own,1,skilled,1,none,yes,0
<0,36,delayed,education,6887,<100,1-4yr,4,male single,none,3,insurance/savings,29,stores,own,1,skilled,1,yes,yes,1
no checking,15,existing paid,furniture,2708,<100,<1yr,2,male single,none,3,insurance/savings,27,bank,own,2,unskilled resident,1,none,yes,0
no checking,18,existing paid,furniture,1984,<100,1-4yr,4,male single,none,4,no property,47,bank,free,2,skilled,1,none,yes,0
no checking,60,existing paid,radio/TV,10144,100-500,4-7yr,2,female,none,4,real estate,21,none,own,1,skilled,1,yes,yes,0
no checking,12,critical,radio/TV,1240,no savings,>=7yr,4,female,none,2,real estate,38,none,own,2,skilled,1,yes,yes,0
no checking,27,delayed,car (used),8613,>=1000,1-4yr,2,male single,none,2,car,27,none,own,2,skilled,1,none,yes,0
0-200,12,existing paid,radio/TV,766,500-1000,1-4yr,4,male single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,1
0-200,15,critical,radio/TV,2728,no savings,4-7yr,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,0
>=200,12,existing paid,radio/TV,1881,<100,1-4yr,2,female,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,0
>=200,6,existing paid,car (new),709,>=1000,<1yr,2,male married,none,2,real estate,27,none,own,1,unemployed/unskilled,1,none,no,0
0-200,36,existing paid,radio/TV,4795,<100,<1yr,4,female,none,1,no property,30,none,own,1,management,1,yes,yes,0
<0,27,existing paid,radio/TV,3416,<100,1-4yr,3,male single,none,2,car,27,none,own,1,management,1,none,yes,0
<0,18,existing paid,furniture,2462,<100,1-4yr,2,male single,none,2,car,22,none,own,1,skilled,1,none,yes,1
no checking,21,critical,furniture,2288,<100,<1yr,4,female,none,4,insurance/savings,23,none,own,1,skilled,1,yes,yes,0
0-200,48,all paid,business,3566,100-500,4-7yr,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,0
<0,6,critical,car (new),860,<100,>=7yr,1,female,none,4,no property,39,none,own,2,skilled,1,yes,yes,0
no checking,12,critical,car (new),682,100-500,4-7yr,4,female,none,3,car,51,none,own,2,skilled,1,yes,yes,0
<0,36,critical,furniture,5371,<100,1-4yr,3,male single,guarantor,2,insurance/savings,28,none,own,2,skilled,1,none,yes,0
no checking,18,critical,radio/TV,1582,>=1000,>=7yr,4,male single,none,4,car,46,none,own,2,skilled,1,none,yes,0
no checking,6,existing paid,radio/TV,1346,100-500,>=7yr,2,male single,none,4,no property,42,bank,free,1,skilled,2,yes,yes,0
no checking,10,existing paid,radio/TV,1924,<100,1-4yr,1,male single,none,4,insurance/savings,38,none,own,1,skilled,1,yes,no,0
>=200,36,existing paid,radio/TV,5848,<100,1-4yr,4,male single,none,1,car,24,none,own,1,skilled,1,none,yes,0
0-200,24,critical,car (used),7758,>=1000,>=7yr,2,female,none,4,no property,29,none,rent,1,skilled,1,none,yes,0
0-200,24,delayed,business,6967,100-500,4-7yr,4,male single,none,4,car,36,none,rent,1,management,1,yes,yes,0
<0,12,existing paid,furniture,1282,<100,1-4yr,2,female,none,4,car,20,none,rent,1,skilled,1,none,yes,1
<0,9,critical,repairs,1288,100-500,>=7yr,3,male single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,0
<0,12,all paid,retraining,339,<100,>=7yr,4,male married,none,1,car,45,bank,own,1,unskilled resident,1,none,yes,0
0-200,24,existing paid,car (new),3512,100-500,4-7yr,2,male single,none,3,car,38,bank,own,2,skilled,1,yes,yes,0
no checking,6,critical,radio/TV,1898,no savings,1-4yr,1,male single,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,0
no checking,24,critical,radio/TV,2872,100-500,>=7yr,3,male single,none,4,real estate,36,none,own,1,skilled,2,yes,yes,0
no checking,18,critical,car (new),1055,<100,<1yr,4,female,none,1,insurance/savings,30,none,own,2,skilled,1,none,yes,0
no checking,15,existing paid,appliances,1262,500-1000,4-7yr,4,male single,none,3,insurance/savings,36,none,own,2,skilled,1,yes,yes,0
0-200,10,existing paid,car (new),7308,<100,unemployed,2,male single,none,4,no property,70,bank,free,1,management,1,yes,yes,0
no checking,36,existing paid,car (new),909,500-1000,>=7yr,4,male single,none,4,insurance/savings,36,none,own,1,skilled,1,none,yes,0
no checking,6,existing paid,furniture,2978,500-1000,1-4yr,1,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,0
<0,18,existing paid,furniture,1131,<100,unemployed,4,female,none,2,car,33,none,own,1,skilled,1,none,yes,1
0-200,11,existing paid,furniture,1577,>=1000,<1yr,4,female,none,1,real estate,20,none,own,1,skilled,1,none,yes,0
no checking,24,existing paid,furniture,3972,<100,4-7yr,2,female,none,4,insurance/savings,25,none,rent,1,skilled,1,yes,yes,0
0-200,24,critical,business,1935,<100,>=7yr,4,male divorced,none,4,real estate,31,none,own,2,skilled,1,yes,yes,1
<0,15,no credits,car (new),950,<100,>=7yr,4,male single,none,3,car,33,none,rent,2,skilled,2,none,yes,1
no checking,12,existing paid,furniture,763,<100,1-4yr,4,female,none,1,real estate,26,none,own,1,skilled,1,yes,yes,0
0-200,24,delayed,furniture,2064,<100,unemployed,3,female,none,2,insurance/savings,34,none,own,1,management,1,yes,yes,1
0-200,8,existing paid,radio/TV,1414,<100,1-4yr,4,male single,guarantor,2,real estate,33,none,own,1,skilled,1,none,no,0
<0,21,delayed,education,3414,<100,<1yr,2,male single,none,1,insurance/savings,26,none,own,2,skilled,1,none,yes,1
no checking,30,all paid,car (used),7485,no savings,unemployed,4,female,none,1,real estate,53,bank,own,1,management,1,yes,yes,1
<0,12,existing paid,furniture,2577,<100,1-4yr,2,male divorced,none,1,car,42,none,own,1,skilled,1,none,yes,0
<0,6,critical,radio/TV,338,500-1000,>=7yr,4,male single,none,4,car,52,none,own,2,skilled,1,none,yes,0
no checking,12,existing paid,radio/TV,1963,<100,4-7yr,4,male single,none,2,car,31,none,rent,2,management,2,yes,yes,0
<0,21,critical,car (new),571,<100,>=7yr,4,male single,none,4,real estate,65,none,own,2,skilled,1,none,yes,0
no checking,36,delayed,business,9572,<100,<1yr,1,male divorced,none,1,car,28,none,own,2,skilled,1,none,yes,1
0-200,36,delayed,business,4455,<100,1-4yr,2,male divorced,none,2,real estate,30,stores,own,2,management,1,yes,yes,1
<0,21,all paid,car (new),1647,no savings,1-4yr,4,male single,none,2,insurance/savings,40,none,own,2,unskilled resident,2,none,yes,1
no checking,24,critical,furniture,3777,>=1000,1-4yr,4,male single,none,4,real estate,50,none,own,1,skilled,1,yes,yes,0
0-200,18,critical,car (new),884,<100,>=7yr,4,male single,none,4,car,36,bank,own,1,skilled,2,yes,yes,1
no checking,15,critical,radio/TV,1360,<100,1-4yr,4,male single,none,2,insurance/savings,31,none,own,2,skilled,1,none,yes,0
0-200,9,all paid,car (used),5129,<100,>=7yr,2,female,none,4,no property,74,bank,free,1,management,2,yes,yes,1
0-200,16,critical,car (new),1175,<100,unemployed,2,male single,none,3,car,68,none,free,3,unemployed/unskilled,1,yes,yes,0
<0,12,existing paid,radio/TV,674,100-500,4-7yr,4,male married,none,1,insurance/savings,20,none,own,1,skilled,1,none,yes,1
0-200,18,no credits,furniture,3244,<100,1-4yr,1,female,none,4,car,33,bank,own,2,skilled,1,yes,yes,0
no checking,24,existing paid,business,4591,>=1000,1-4yr,2,male single,none,3,insurance/savings,54,none,own,3,management,1,yes,yes,1
0-200,48,no credits,business,3844,100-500,4-7yr,4,male single,none,4,no property,34,none,free,1,unskilled resident,2,none,yes,1
0-200,27,existing paid,business,3915,<100,1-4yr,4,male single,none,2,car,36,none,own,1,skilled,2,yes,yes,1
no checking,6,existing paid,radio/TV,2108,<100,4-7yr,2,male married,none,2,real estate,29,none,rent,1,skilled,1,none,yes,0
0-200,45,existing paid,radio/TV,3031,100-500,1-4yr,4,male single,guarantor,4,insurance/savings,21,none,rent,1,skilled,1,none,yes,1
0-200,9,critical,education,1501,<100,>=7yr,2,female,none,3,car,34,none,own,2,management,1,yes,yes,1
no checking,6,critical,radio/TV,1382,<100,1-4yr,1,female,none,1,car,28,none,own,2,skilled,1,yes,yes,0
0-200,12,existing paid,furniture,951,100-500,<1yr,4,female,none,4,car,27,bank,rent,4,skilled,1,none,yes,1
0-200,24,existing paid,car (used),2760,no savings,>=7yr,4,male single,none,4,no property,36,bank,free,1,skilled,1,yes,yes,0
0-200,18,delayed,furniture,4297,<100,>=7yr,4,male divorced,none,3,no property,40,none,own,1,management,1,yes,yes,1
no checking,9,critical,education,936,500-1000,>=7yr,4,male single,none,2,car,52,none,own,2,skilled,1,yes,yes,0
<0,12,existing paid,car (new),1168,<100,1-4yr,4,male married,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes,0
no checking,27,delayed,business,5117,<100,4-7yr,3,male single,none,4,car,26,none,own,2,skilled,1,none,yes,0
<0,12,existing paid,retraining,902,<100,4-7yr,4,male married,none,4,insurance/savings,21,none,rent,1,skilled,1,none,yes,1
no checking,12,critical,car (new),1495,<100,>=7yr,4,male single,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,0
<0,30,critical,car (used),10623,<100,>=7yr,3,male single,none,4,no property,38,none,free,3,management,2,yes,yes,0
no checking,12,critical,furniture,1935,<100,>=7yr,4,male single,none,4,real estate,43,none,own,3,skilled,1,yes,yes,0
0-200,12,critical,appliances,1424,<100,4-7yr,4,male single,none,3,insurance/savings,26,none,own,1,skilled,1,none,yes,0
<0,24,existing paid,business,6568,<100,1-4yr,2,male married,none,2,car,21,stores,own,1,unskilled resident,1,none,yes,0
no checking,12,existing paid,car (used),1413,>=1000,4-7yr,3,male single,none,2,insurance/savings,55,none,own,1,skilled,1,none,no,0
no checking,9,critical,radio/TV,3074,no savings,1-4yr,1,male single,none,2,real estate,33,none,own,2,skilled,2,none,yes,0
no checking,36,existing paid,radio/TV,3835,no savings,>=7yr,2,female,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,0
<0,27,no credits,business,5293,<100,unemployed,2,male single,none,4,insurance/savings,50,stores,own,2,skilled,1,yes,yes,1
>=200,30,delayed,business,1908,<100,>=7yr,4,male single,none,4,real estate,66,none,own,1,management,1,yes,yes,1
no checking,36,critical,radio/TV,3342,no savings,>=7yr,4,male single,none,2,car,51,none,own,1,skilled,1,yes,yes,0
0-200,6,critical,retraining,932,no savings,4-7yr,1,female,none,3,insurance/savings,39,none,own,2,unskilled resident,1,none,yes,0
<0,18,no credits,business,3104,<100,4-7yr,3,male single,none,1,insurance/savings,31,bank,own,1,skilled,1,yes,yes,0
>=200,36,existing paid,radio/TV,3913,<100,1-4yr,2,male single,none,2,real estate,23,none,own,1,skilled,1,yes,yes,0
<0,24,existing paid,furniture,3021,<100,1-4yr,2,male divorced,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,0
no checking,10,existing paid,car (new),1364,<100,1-4yr,2,female,none,4,car,64,none,own,1,skilled,1,yes,yes,0
0-200,12,existing paid,radio/TV,625,<100,<1yr,4,male married,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,0
<0,12,existing paid,education,1200,no savings,1-4yr,4,female,none,4,insurance/savings,23,bank,rent,1,skilled,1,yes,yes,0
no checking,12,existing paid,radio/TV,707,<100,1-4yr,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,0
no checking,24,delayed,business,2978,no savings,1-4yr,4,male single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,0
no checking,15,existing paid,car (used),4657,<100,1-4yr,3,male single,none,2,car,30,none,own,1,skilled,1,yes,yes,0
